Meses_contrato,Total,Factura_mensual,Contrato_mensual,Pago_chequera_electronica,Soporte_tecnico,Seguridad_online,Contrato_2_años,Factura_online,Contrato_1_año,Respaldo_online,Genero_Masculino,Renuncia,ID
9.0,593.3,65.6,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0002-ORFBO
9.0,542.4,59.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0003-MKNFE
4.0,280.85,73.9,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0004-TLHLJ
13.0,1237.85,98.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0011-IGKFF
3.0,267.4,83.9,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0013-EXCHZ
9.0,571.45,69.4,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0013-MHZWF
71.0,7904.25,109.7,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0013-SMEOE
63.0,5377.8,84.65,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0014-BMAQU
7.0,340.35,48.2,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0015-UOCOJ
65.0,5957.9,90.45,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0016-QLJIS
54.0,2460.55,45.2,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0017-DINOC
72.0,8456.75,116.8,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0017-IUDMW
5.0,351.5,68.95,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0018-NYROU
72.0,7261.25,101.3,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0019-EFAEP
56.0,2560.1,45.05,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0019-GFNTW
71.0,6849.4,95.75,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0020-INWCK
34.0,1993.2,61.25,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0020-JDNXP
1.0,72.1,72.1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0021-IKXGC
45.0,2791.5,62.7,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0022-TCJCI
1.0,25.1,25.1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0023-HGHWL
50.0,1306.3,25.2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0023-UYUPN
13.0,1215.6,94.1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0023-XUOPT
23.0,1849.95,83.75,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0027-KWYKW
3.0,57.2,19.85,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0030-FNXPP
4.0,76.35,20.35,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0031-PVLZI
1.0,30.5,30.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0032-PGELS
55.0,5656.75,103.7,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0036-IHMOT
54.0,1090.6,20.4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0040-HALCW
26.0,471.85,19.6,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0042-JVWOJ
69.0,1396.9,19.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0042-RLHYP
11.0,929.3,79.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0047-ZHDTW
37.0,3247.55,91.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0048-LUMLS
